iter	Passed	Remaining
0	151	22533
1	154	11459
2	158	7773
3	162	5926
4	166	4823
5	169	4077
6	173	3543
7	177	3143
8	180	2828
9	184	2579
10	188	2377
11	192	2211
12	196	2069
13	199	1940
14	203	1829
15	207	1737
16	210	1649
17	214	1569
18	217	1498
19	221	1438
20	224	1380
21	227	1325
22	230	1274
23	234	1228
24	237	1186
25	240	1146
26	243	1109
27	246	1075
28	250	1044
29	253	1014
30	256	985
31	259	958
32	263	933
33	266	909
34	269	886
35	272	864
36	275	842
37	278	821
38	282	802
39	284	783
40	288	766
41	291	748
42	294	732
43	297	716
44	300	700
45	303	686
46	306	672
47	309	658
48	313	645
49	316	632
50	319	620
51	322	607
52	325	596
53	328	584
54	331	572
55	334	561
56	337	551
57	340	540
58	344	531
59	347	520
60	350	511
61	353	501
62	356	492
63	359	483
64	362	474
65	365	465
66	368	456
67	371	448
68	374	439
69	377	431
70	381	423
71	384	416
72	387	408
73	390	400
74	393	393
75	396	386
76	399	378
77	402	371
78	406	364
79	409	358
80	412	351
81	415	344
82	418	338
83	422	331
84	425	325
85	428	318
86	431	312
87	434	306
88	437	300
89	440	293
90	444	287
91	447	282
92	450	276
93	453	270
94	457	264
95	460	259
96	464	253
97	467	247
98	470	242
99	473	236
100	477	231
101	481	226
102	484	221
103	488	215
104	491	210
105	494	205
106	498	200
107	501	195
108	505	189
109	508	184
110	512	179
111	515	174
112	518	169
113	522	164
114	525	159
115	528	155
116	532	150
117	535	145
118	538	140
119	542	135
120	545	130
121	548	125
122	552	121
123	555	116
124	558	111
125	561	106
126	564	102
127	567	97
128	571	92
129	574	88
130	577	83
131	580	79
132	583	74
133	586	70
134	589	65
135	592	61
136	595	56
137	598	52
138	601	47
139	604	43
140	608	38
141	611	34
142	614	30
143	617	25
144	620	21
145	623	17
146	626	12
147	629	8
148	632	4
149	635	0
